k_folds,classifier,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
42,MLPClassifier,0.6637931065354724,0.2064436015278834,0.5549345419537727,0.1826787790169028,0.31791854326279245,0.03631288384762286
42,RandomForestClassifier,0.6131143509003921,0.2774349196321687,0.5077227259919568,0.1856712450504285,0.18964696557079497,0.009314942780446476
42,SVC,0.5924160233135196,0.297781746820883,0.5174572756303525,0.20075705937280322,0.010900334977209457,0.000384110422279019
43,KNeighborsClassifier (k=3),0.43750092237024346,0.2499255852069484,0.43202394313505427,0.17616025391333287,0.0011493581635498463,0.00010846956853894302
43,MLPClassifier,0.6537738711077324,0.2176158703191574,0.5437663673774784,0.18691364496035553,0.30663043699940656,0.03142352985736291
43,RandomForestClassifier,0.6251844617610692,0.2631817352854685,0.49848952487841375,0.19170961469798725,0.1882561466292489,0.005587887690630156
43,SVC,0.6070585768936747,0.2859304190985265,0.49926112981668536,0.19301620191710456,0.01087040169710066,0.0005480794297741292
44,KNeighborsClassifier (k=3),0.4435240505929009,0.24299614011615242,0.46332304526748974,0.1514105779468737,0.001223353455398782,0.00023391611353414885
44,MLPClassifier,0.6375151820715058,0.21589557566624035,0.5368827160493828,0.151456178359549,0.3267489743643223,0.039118014711218
44,RandomForestClassifier,0.6198642815243606,0.2744914150950718,0.5254629629629629,0.17867154804213256,0.19117343022563463,0.005918056691321931
44,SVC,0.6022101425029447,0.2806521765092998,0.5180555555555556,0.15832068100595081,0.010971084727895108,0.0004555931717573931
45,KNeighborsClassifier (k=3),0.42188431642508006,0.25287172645420886,0.4415173906553217,0.17100473537587382,0.0011738840885098195,0.0002165123952486263
45,MLPClassifier,0.6326961201471005,0.21225356094930461,0.5415808329601433,0.15404472241266987,0.3189534116885625,0.035504409345853666
45,RandomForestClassifier,0.6238012381304435,0.2620870703651743,0.5107889237199582,0.18863252747241785,0.19191620387007585,0.008658263167698422
45,SVC,0.5912040950009914,0.2900958426784326,0.48942752649649196,0.18793562452306442,0.010953109709791735,0.00048565890462937215
46,KNeighborsClassifier (k=3),0.4257874194574962,0.24232216503996884,0.435228243978244,0.16429798867684728,0.0011645613264155818,0.0002350261769309603
46,MLPClassifier,0.6382630086594281,0.21902104852501916,0.5680691530691531,0.16943798651430583,0.3098084498456244,0.037698016003789046
46,RandomForestClassifier,0.6358931790753032,0.25008512858090876,0.5415238927738927,0.173731649606206,0.1892050253268478,0.01048492031949294
46,SVC,0.5941316012811168,0.2788754209070637,0.494756216006216,0.17969457427873503,0.010778258826062285,0.0005262532235725188
47,KNeighborsClassifier (k=3),0.4194434873326251,0.2613993623152876,0.43563644688644687,0.1885373981448738,0.0011925329135339508,0.00024476065047003093
47,MLPClassifier,0.6295547294452176,0.23141092974251723,0.5521087246087245,0.16731867989714405,0.32453640580779197,0.03437184845142598
47,RandomForestClassifier,0.6287187989315649,0.25709753479540953,0.5426255688755688,0.17622200737671082,0.1892589692975657,0.005555949286258362
47,SVC,0.5780310799067797,0.3017130748421147,0.5041225441225441,0.1952878148132009,0.010986517361821012,0.0005615342618356372
48,KNeighborsClassifier (k=3),0.41560722720262194,0.24811145302917673,0.4384343434343434,0.17033368911055377,0.0012715918743803438,0.0002461756577772196
48,MLPClassifier,0.6404952916861485,0.22333916432069442,0.5474663299663299,0.19211283613012856,0.32860954241550644,0.0383031718843367
48,RandomForestClassifier,0.6223181360649391,0.2577450348250118,0.5195454545454545,0.17995259359758356,0.19331371124947813,0.011689976400302747
48,SVC,0.5845830959322008,0.29304716850475576,0.5078451178451179,0.18848437031924076,0.011180429541127523,0.0008438943028001259
49,KNeighborsClassifier (k=3),0.41600539483192545,0.2456979509105914,0.4494257086999022,0.16336246743902907,0.0011382338160896028,0.00011642075947928654
49,MLPClassifier,0.6258625634335316,0.22489891435184736,0.5402044639947866,0.16341522790737964,0.3068424986324354,0.031991550672370174
49,RandomForestClassifier,0.6147285165008044,0.2570106136916652,0.522148908439231,0.16325385773560205,0.18625688463258225,0.003922921012598151
49,SVC,0.5767390623459366,0.2842228248890911,0.49657869012707717,0.1539123058299307,0.010831951408715899,0.0003850694216781766
50,KNeighborsClassifier (k=3),0.41775335775335776,0.2593646555364908,0.4219308035714286,0.18233646762085828,0.0011405721196206286,9.717303723190201e-05
50,MLPClassifier,0.6275556757361269,0.2331416196215276,0.5357514880952381,0.18854543829890064,0.31589815981977154,0.03643131144576164
50,RandomForestClassifier,0.6274104954802433,0.2550516313484439,0.522172619047619,0.16764627351416964,0.1870399589391309,0.0036968290459103896
50,SVC,0.5783862356131264,0.2935999506899246,0.49440104166666665,0.18789417758463428,0.010901831239461899,0.00046140316867295444
51,KNeighborsClassifier (k=3),0.42316043561718303,0.2632928096740476,0.43434343434343436,0.1987892778248225,0.0011512890190465887,0.00011328910980379055
51,MLPClassifier,0.6296358004528687,0.23547657634661584,0.5381313131313131,0.1830493812281633,0.31978850674618026,0.03508910068539133
51,RandomForestClassifier,0.6145410324649079,0.27273170942560426,0.5325757575757576,0.15990670614992097,0.18830533174446365,0.004464760085873931
51,SVC,0.5837483866895632,0.28916737737995746,0.5033670033670034,0.17909634383233927,0.010934636331797925,0.00041845750704032895
52,KNeighborsClassifier (k=3),0.4340063656805738,0.25819395724142397,0.44505208333333335,0.1931726642240175,0.0012178451347258838,0.00022306169393260608
52,MLPClassifier,0.625881810497195,0.23814514748475826,0.5403645833333334,0.18260006554810446,0.3228780531927231,0.032613459819446446
52,RandomForestClassifier,0.613852104406403,0.27102583410300973,0.5275173611111111,0.15434655521723611,0.1944960705586709,0.009973031494170927
52,SVC,0.5755720084339994,0.3010769708023828,0.5072048611111111,0.16725383335071803,0.011198006288255923,0.0007696948081048563
53,KNeighborsClassifier (k=3),0.42625358979410033,0.26223915598575714,0.43984375,0.2029214757881026,0.0011788514535544651,0.00018183108091803787
53,MLPClassifier,0.6289723902931451,0.23512898899938517,0.5484375,0.18753061279366373,0.32333858192262444,0.033174631633709074
53,RandomForestClassifier,0.6077317860336728,0.27729408200778854,0.5296875,0.1537893158637333,0.19319132726418758,0.007518522378777563
53,SVC,0.5742117641819727,0.30637344070345596,0.5171875,0.17510797360301683,0.011098257245941809,0.00042359570468483444
